cartodb_id,the_geom,site_id,name,street,plaque_location,type,town,prov,reason_for_designation,latitude_wgs84,longitude_wgs84,cartodb_georef_status
882,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,2075,St. Paul's Anglican Church,corner of Church Street and First Avenue,<Null>,Historic Sites,Dawson,Yukon Territory,"Fine example of Gothic Revival design, 1902",64.058759,-139.438154,true
881,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,2073,Yukon Hotel,First Avenue,On a rock beside the building,Historic Sites,Dawson,Yukon Territory,"The Binet Block stood at the southern end of a business district extending north to King Street; 1898",64.059176,-139.438568,true
880,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,2072,Canadian Bank of Commerce,Front Street,On a rock by the Bank Building,Historic Sites,Dawson,Yukon Territory,Important banking services were performed here from the gold rush of 1898 until 1989,64.062885,-139.435389,true
848,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,1992,Old Territorial Administration Building,595 Fifth Avenue (at Mission Street),<Null>,Historic Sites,Dawson,Yukon Territory,Symbolizes the establishment of the linkage between the territories north of sixty and southern Canadian society,64.056911,-139.434923,true
670,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,781,Dawson Historical Complex,Third Avenue,Entrance to the Palace Grand Theatre,Historic Sites,Dawson,Yukon Territory,Important collection of buildings from the Klondike Gold Rush,64.063319,-139.430867,true
671,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,787,S.S. Keno,<Null>,<Null>,Historic Sites,Dawson,Yukon Territory,"Wooden steamboat built 1922, 140 feet x 30 feet, three decks",64.0632,-139.434523,true
850,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,1997,Tr'ochëk,<Null>,<Null>,Historic Sites,Dawson,Yukon Territory,Aboriginal cultural landscape,64.051194,-139.441389,true
685,0101000020E61000009031772D21F75C406BF12900C6F33FC0,807,McMartin House,125 Gore Street,"Next to fence near sidewalk, 10 m in front of house, facing Harvey St.",Historic Sites,Perth,Ontario,"Loyalist Georgian townhouse design, 1830-39",44.898227,-76.246898,true
417,0101000020E61000009031772D21F75C406BF12900C6F33FC0,490,Perth Town Hall,80 Gore Street East,<Null>,Historic Sites,Perth,Ontario,"Stately multi-purpose town hall, 1863-64",44.899169,-76.248797,true
416,0101000020E61000009031772D21F75C406BF12900C6F33FC0,489,Matheson House,11 Gore Street East,East side of Gore St. Mounted on wall of building on right side of front door.,Historic Sites,Perth,Ontario,"Outstanding example of early Scottish-Canadian architecture, 1840; home of Honourable Roderick Matheson, original owner, prominent citizen of Perth and one of the Dominion's first senators",44.900967,-76.250733,true
634,0101000020E61000008B89CDC7B5DB53C0F46C567DAEAA4740,738,Fort Témiscamingue,824 Old Fort Road,<Null>,Historic Sites,Ville-Marie,Quebec,Remains of French fur trading post,47.288814,-79.46146,true
32,0101000020E61000002844C02154635CC099F5622827A24A40,33,Leduc-Woodbend Oilfield,Junction of highways 60 & 90,Canadian Petroleum Discovery Center,Historic Sites,Leduc,Alberta,Most important oil field in history of Alberta,53.329936,-113.72906,true
110,0101000020E6100000639CBF09852C58C07380608E1E8B4840,119,St. Michael's Ukrainian Greek Orthodox Church,<Null>,<Null>,Historic Sites,Gardenton,Manitoba,"Typical and oldest Ukrainian church, 1899",49.071626,-96.740368,true
509,0101000020E6100000029F1F4608934FC044A33B889D194740,592,Port-la-Joye–Fort Amherst,112 Hache Gallant Drive,<Null>,Historic Sites,Rocky Point,Prince Edward Island,"Seat of government for Île Saint-Jean, first for the French then for the British, 1720 to 1768",46.195395,-63.135676,true
436,0101000020E61000003737A6272CC353C0CC28965B5A954540,509,Vrooman's Battery,14759 and 14767 Niagara Parkway,<Null>,Historic Sites,Queenston,Ontario,"Key gun emplacement earthwork in Battle of Queenston Heights; War of 1812",43.177583,-79.058283,true
435,0101000020E61000003737A6272CC353C0CC28965B5A954540,508,Queenston-Chippawa Hydro-Electric Development,<Null>,<Null>,Historic Sites,Queenston,Ontario,"First large hydro project in world, 1917-25",43.147884,-79.045251,true
434,0101000020E61000003737A6272CC353C0CC28965B5A954540,507,Queenston Heights,Niagara Pky. at Portage Rd.,In Queenston Heights Park near tall monument on hill,Historic Sites,Queenston,Ontario,"1812 Battle of Queenston Heights; British defeat American attempt at invasion, includes Brock Monument; War of 1812",43.160074,-79.052923,true
433,0101000020E61000003737A6272CC353C0CC28965B5A954540,506,Fort Drummond,<Null>,near General Brock Monument at entrance to Children's wading pool,Historic Sites,Queenston,Ontario,"Redoubt and battery; built to defend the main portage road from Chippawa to Queenston during the War of 1812",43.15925,-79.054467,true
752,0101000020E6100000CC6262F371D753C0A852B3075A754640,1746,Bethune Memorial House,235 John Street North,<Null>,Historic Sites,Gravenhurst,Ontario,"Birthplace of Doctor Norman Bethune; of symbolic significance to the Chinese and possibly Canada's most prominent international humanitarian",44.920933,-79.37615,true
953,0101000020E61000008E01D9EBDD6D51C05709168733134840,2345,Saint-Croix-de-Tadoussac Mission Church,"169, rue du Bord-de-l’Eau",,Historic Sites,Tadoussac,Quebec,,48.141778,-69.712694,true
26,0101000020E6100000F4A62215C69A5BC05FEFFE78AFEA4A40,26,Frog Lake,Fish Lake Road,Two miles east of the Frog Lake General Store/Post Office,Historic Sites,Frog Lake,Alberta,"Cree uprising, Northwest Rebellion 1885",53.831229,-110.358618,true
208,0101000020E6100000E92B483316354CC09947FE60E0DD4940,238,Red Bay,<Null>,mounted on a cairn beside the United Church,Historic Sites,Red Bay,Newfoundland and Labrador,16th-century Basque whaling industry complex,51.733187,-56.428303,true
111,0101000020E610000038842A357B3C58C018265305A30A4940,120,St. Andrews Caméré Curtain Bridge Dam,625 River Road,"St. Andrews Rapids, Red River",Historic Sites,Lockport,Manitoba,"Largest of its type in world, 1907-10",50.082432,-96.941906,true
415,0101000020E610000024624A24D16B54C01CD3139678944540,488,Parkhill,West Corner Drive and Prance Road,<Null>,Historic Sites,Parkhill,Ontario,"Palaeo-Indian habitation site, circa 8000 BC; discrete features and activities areas represent several aspects of everyday Palaeo-Indian lifeways",43.19811,-81.747147,true
699,0101000020E61000004F5DF92CCF7F4EC0F46C567DAEAA4640,827,Canso Islands,School Street,Canso Public School Grounds,Historic Sites,Canso,Nova Scotia,"Fishing centre, 16th- to 19th-century",45.346563,-60.970702,true
235,0101000020E61000004F5DF92CCF7F4EC0F46C567DAEAA4640,265,Grassy Island Fort,<Null>,<Null>,Historic Sites,Canso,Nova Scotia,Centre of English fishery in 18th-century,45.337183,-60.972746,true
725,0101000020E61000002A1DACFF739850C021CD58349D194940,855,Corossol,<Null>,<Null>,Historic Sites,Sept-Îles,Quebec,17th-century vaisseau du Roi wreck,50.098333,-66.3835,true
878,0101000020E61000007A19C5724B974FC0CC28965B5A354740,2068,Shaw's Hotel,<Null>,<Null>,Historic Sites,Brackley Beach,Prince Edward Island,"Rare, early illustration of a significant period in the history of tourism in Canada",46.424114,-63.192093,true
794,0101000020E6100000E5F21FD26F174EC045D8F0F44A114740,1854,Nova Scotia Coal Fields,<Null>,<Null>,Historic Sites,Sydney,Nova Scotia,Surviving clusters of in situ resources associated with the fields and the coal industry,46.136278,-60.195558,true
678,0101000020E6100000E5F21FD26F174EC045D8F0F44A114740,800,Sydney WWII Coastal Defences,New Victoria Road,<Null>,Historic Sites,Sydney,Nova Scotia,"Safe port for World War II convoy assembly; Atlantic Bulwark",46.249732,-60.153711,true
520,0101000020E610000027C286A7571652C0DA20938C9C994640,603,Bolton-Est Town Hall,<Null>,Main Entrance of building,Historic Sites,Bolton-Est,Quebec,Erected in 1867 by community using local wood,45.202962,-72.356263,true
63,0101000020E6100000A54E401361335FC097C5C4E6E39E4840,69,McLean Mill,5633 Smith Road,<Null>,Historic Sites,Port Alberni,British Columbia,"Lumber mill complex, buildings and equipment, 1926-27",49.3091,-124.827917,true
917,0101000020E61000003108AC1C5A9652C0FB3F87F9F28E4640,2184,Droulers-Tsiionhiakwatha,1800 Leahy Road,<Null>,Historic Sites,Saint-Anicet,Quebec,Most important and best-preserved known site associated with the St. Lawrence Iroquoian people in Canada,45.082533,-74.314204,true
944,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,2310,Cataraqui Cemetery,927 Purdy’s Mill Road,<Null>,Historic Sites,Kingston,Ontario,"An attractive and well preserved example of a medium-sized rural cemetery characterized by its uneven topography and naturalistic landscape; laid out in the Picturesque manner",44.262071,-76.541775,true
816,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,1899,Sir John A. Macdonald Gravesite,927 Purdy Mills Rd.,Cataraqui Cemetery,Historic Sites,Kingston,Ontario,"Burial site of Canada's first Prime Minister (1867-73, 1878-91), Father of Confederation",44.262071,-76.541775,true
796,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,1856,Ann Baillie Building,George Street,on the grounds of the Kingston General Hospital NHSC,Historic Sites,Kingston,Ontario,"Nurses' residences were central to the nursing culture, 1903-04",44.223767,-76.49205,true
755,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,1763,Kingston Fortifications,211 Ontario Street,Confederation Park opposite City Hall,Historic Sites,Kingston,Ontario,"Protection for the Royal Naval Dockyard and the entrance to the Rideau Canal; War of 1812",44.230971,-76.459676,true
741,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,872,Kingston General Hospital,76 Stuart Street,<Null>,Historic Sites,Kingston,Ontario,Oldest public hospital in operation in Canada,44.224517,-76.492817,true
364,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,414,Shoal Tower,Kingston Harbour,Kingston Harbour,Historic Sites,Kingston,Ontario,Mid 19th-century British imperial masonry fortifications,44.228852,-76.478122,true
362,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,412,Point Frederick Buildings,Highway 2,Royal Military College,Historic Sites,Kingston,Ontario,"Major British naval base on Lake Ontario during the War of 1812; now Royal Military College",44.230717,-76.4692,true
361,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,411,Murney Tower,18 King Street West,MacDonald Park,Historic Sites,Kingston,Ontario,Mid 19th-century British imperial masonry fortification,44.222567,-76.490333,true
360,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,409,Old Kingston Post Office,86 Clarence Street,<Null>,Historic Sites,Kingston,Ontario,"Elegant Italianate post office, 1856-59",44.230043,-76.483026,true
359,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,408,Kingston Penitentiary,440 King Street West,<Null>,Historic Sites,Kingston,Ontario,"Oldest penitentiary in Canada, begun in 1834",44.219712,-76.513607,true
358,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,407,Kingston Navy Yard,Royal Military College,On a stand in front of Old Stone Frigate building on grounds of Royal Military College,Historic Sites,Kingston,Ontario,"Centre of British naval power on Lake Ontario, first for the Provincial Marine on Lake Ontario 1789-1813; administered by the Admiralty till its closure in 1853; War of 1812",44.229567,-76.46665,true
357,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,405,Kingston Dry Dock,55 Ontario Street,<Null>,Historic Sites,Kingston,Ontario,"Important port and ship building centre on the Great Lakes, built in 1890; World War II corvettes made here",44.224854,-76.482991,true
356,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,404,Kingston Customs House,294 King Street East,<Null>,Historic Sites,Kingston,Ontario,"Elegant Italianate customs house, 1856-59",44.229574,-76.48207,true
355,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,403,Kingston City Hall,216 Ontario Street,<Null>,Historic Sites,Kingston,Ontario,Landmark Neoclassical civic building on waterfront,44.22998,-76.480423,true
354,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,400,Frontenac County Court House,1 Court Street,<Null>,Historic Sites,Kingston,Ontario,"Monumental Neoclassical court house facing Lake Ontario; opened in 1858",44.2275,-76.489517,true
353,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,399,Fort Henry,<Null>,Mounted on the outside wall to right of main entrance,Historic Sites,Kingston,Ontario,"British fort to defend Rideau Canal; completed 1836",44.23097,-76.45968,true
352,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,398,Fort Frontenac,1 Ontario Street,Tête du Pont Barracks,Historic Sites,Kingston,Ontario,"For many years, the key to the West, the base of LaSalle's explorations and a French outpost against the Iroquois and English",44.233622,-76.478549,true
351,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,397,Elizabeth Cottage,251 Brock Street,<Null>,Historic Sites,Kingston,Ontario,"Gothic Revival villa, 1841-43",44.23185,-76.488983,true
350,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,394,Bellevue House,35 Centre Street,<Null>,Historic Sites,Kingston,Ontario,"Important Italianate villa 1840's; home of Sir John A. Macdonald, Prime Minister of Canada (1867-73, 1878-91)",44.22285,-76.504333,true
363,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,413,Roselawn,421 Union Street West,<Null>,Historic Sites,Kingston,Ontario,"Neoclassical country villa, 1841",44.225783,-76.510033,true
1509,0101000020E6100000ED815660C81E53C0E8F692C6681D4640,2901,"Cartwright, Sir Richard John",216 Ontario Street,in City Hall,Historic Persons,Kingston,Ontario,Canadian Minister of Finance (1873-78) and Minister of Trade and Commerce (1896-1904),44.229956,-76.480359,true
640,0101000020E610000060764F1E16005BC0B8AF03E78C084A40,744,Biggar Railway Station (Grand Trunk Pacific),Main Street and First Avenue,<Null>,Historic Sites,Biggar,Saskatchewan,"Typical 1910 station, reflects railway impact on the West",52.053409,-107.986542,true
672,0101000020E61000001F85EB51B8E160C0562B137EA95B4E40,793,S.S. Klondike,<Null>,On a rock in front of the S.S. Klondike,Historic Sites,Whitehorse,Yukon Territory,Largest and last Yukon commercial steamboat,60.71329,-135.048121,true
896,0101000020E610000039454772F97B52C01B2AC6F99BA84640,2118,Pointe-du-Buisson,333 Émond Street,<Null>,Historic Sites,Melocheville,Quebec,One of the rare sites located in eastern Canada that feature such a long occupation sequence and such a wealth of artifacts,45.31532,-73.966278,true
653,0101000020E6100000FBCBEEC9C34A5BC03F355EBA49044B40,757,Steele Narrows,Highway 699,Steele Narrows Provincial Park - on a hill on the west side of the narrows,Historic Sites,Loon Lake,Saskatchewan,Last engagement of the Northwest Rebellion 1885,54.03912,-109.316265,true
939,0101000020E61000004087F9F2025056C07E350708E6304840,2283,Finnish Labour Temple,314 Bay Street,<Null>,Historic Sites,Thunder Bay,Ontario,"An architecturally eclectic building built in 1909-10 to serve as a hall for two Finnish organizations; a socialist Local and a temperance society",48.432361,-89.229968,true
938,0101000020E61000004087F9F2025056C07E350708E6304840,2266,Canadian Car & Foundry,1001 Montreal Street,<Null>,Historic Sites,Thunder Bay,Ontario,"Representative of the wartime contributions made by thousands of women; played an important role in the mass-transit manufacturing industry",48.358775,-89.30053,true
459,0101000020E61000004087F9F2025056C07E350708E6304840,534,Thunder Bay Tourist Pagoda,170 Red River Road,<Null>,Historic Sites,Thunder Bay,Ontario,"Whimsical information kiosk, 1909",48.434522,-89.218096,true
458,0101000020E61000004087F9F2025056C07E350708E6304840,533,Fort William,corner of McNaughton and McTavish Streets,CPR railyard,Historic Sites,Thunder Bay,Ontario,"North West Company post, 1803",48.390162,-89.23177,true
457,0101000020E61000004087F9F2025056C07E350708E6304840,532,Cummins Pre-contact Site,Mapleward Road,<Null>,Historic Sites,Thunder Bay,Ontario,"Extensive late Palaeo-Indian stone quarry, most significant and representative littoral site of the Lakehead Complex",48.405034,-89.355417,true
744,0101000020E610000029B3412619DF5EC088BA0F406A374840,879,Hatley Park / Former Royal Roads Military College,2005 Sooke Road,<Null>,Historic Sites,Colwood,British Columbia,"Superb Canadian example of an Edwardian park, with gardens, which remains practically intact",48.4352,-123.473083,true
91,0101000020E610000029B3412619DF5EC088BA0F406A374840,99,Fort Rodd Hill,603 Fort Rodd Hill Road,<Null>,Historic Sites,Colwood,British Columbia,Late 19th-century fort to defend Victoria-Esquimalt fortifications,48.432197,-123.45046,true
90,0101000020E610000029B3412619DF5EC088BA0F406A374840,98,Fisgard Lighthouse,603 Fort Rodd Hill Road,Fort Rodd Hill NHSC,Historic Sites,Colwood,British Columbia,"First permanent lighthouse on Canada's West Coast, 1859-60",48.430393,-123.447441,true
661,0101000020E6100000541D7233DC6C59C0454772F90F314940,765,Fort Espérance,<Null>,On the bank of the Qu'Apelle River,Historic Sites,Rocanville,Saskatchewan,Remains of 2 North West Company fur trade posts,50.492263,-101.577484,true
267,0101000020E6100000F0BF95ECD81650C0F6402B3064254640,305,Fort Sainte Marie de Grace,<Null>,"Lighthouse Reserve, mouth of LaHave river",Historic Sites,LaHave,Nova Scotia,"First permanent French settlement in Acadia, 1632",44.288333,-64.351389,true
742,0101000020E610000097900F7A36774AC09AEB34D252154840,873,Walled Landscape of Grates Cove,<Null>,<Null>,Historic Sites,Grates Cove,Newfoundland and Labrador,Pasturage and gardens defined by stone walls reflecting communal system of land use typical of Newfoundland,48.162988,-52.936731,true
276,0101000020E6100000C381902C605E50C0C8D2872EA8BF4540,314,Fort St. Louis,near Route 3,at Baccaro Point,Historic Sites,Port La Tour,Nova Scotia,"During the Scottish occupation of Port Royal from 1629 to 1632, it was the only remaining foothold of France in Acadia",43.495,-65.470278,true
867,0101000020E6100000C009850838904FC0273108AC1C1E4740,2029,Confederation Centre of the Arts,145 Richmond Street,on stone brick cairn facing Queen St.,Historic Sites,Charlottetown,Prince Edward Island,"Outstanding example of a national institution dedicated to the performing arts; distinguished example of ""Brutalist"" architecture in Canada",46.23363,-63.12718,true
506,0101000020E6100000C009850838904FC0273108AC1C1E4740,589,St. Dunstan's Roman Catholic Basilica,61 Great George Street,left side of entrance to basillica,Historic Sites,Charlottetown,Prince Edward Island,"Fine example of High Victorian Gothic Revival style, 1897-1907",46.233677,-63.124489,true
505,0101000020E6100000C009850838904FC0273108AC1C1E4740,588,Province House,165 Richmond Street,<Null>,Historic Sites,Charlottetown,Prince Edward Island,Neoclassical birthplace of Confederation,46.234859,-63.126083,true
504,0101000020E6100000C009850838904FC0273108AC1C1E4740,587,Great George Street Historic District,Great George Street,<Null>,Historic Sites,Charlottetown,Prince Edward Island,Fine 19th-century streetscape associated with Confederation,46.23249,-63.122754,true
502,0101000020E6100000C009850838904FC0273108AC1C1E4740,585,Fairholm,230 Prince Street (at Fitzroy),<Null>,Historic Sites,Charlottetown,Prince Edward Island,"Picturesque villa; 1839",46.238118,-63.127205,true
501,0101000020E6100000C009850838904FC0273108AC1C1E4740,584,Dundas Terrace,2-6 Water Street (at Haviland St.),<Null>,Historic Sites,Charlottetown,Prince Edward Island,"Queen Anne Revival apartment building, 1889",46.230096,-63.127649,true
500,0101000020E6100000C009850838904FC0273108AC1C1E4740,583,Charlottetown City Hall,100 Queen Street,on wall facing Queen St.,Historic Sites,Charlottetown,Prince Edward Island,"Oldest municipal hall in Prince Edward Island, 1888",46.235327,-63.129249,true
499,0101000020E6100000C009850838904FC0273108AC1C1E4740,582,Ardgowan,1 Confederation Street - 2 Palmers Lane,on wall,Historic Sites,Charlottetown,Prince Edward Island,"Residence of Father of Confederation William Henry Pope, circa 1850",46.251826,-63.126329,true
498,0101000020E6100000C009850838904FC0273108AC1C1E4740,581,Apothecaries Hall,150 Queen Street,on the Hughes Drug Company Building,Historic Sites,Charlottetown,Prince Edward Island,"Prominent 19th-century pharmacy; one of the longest continually operated pharmacies in Canada",46.234632,-63.128084,true
497,0101000020E6100000C009850838904FC0273108AC1C1E4740,580,All Souls Chapel,Rochford Square,On wall of small chapel located next to St. Peter's Cathedral,Historic Sites,Charlottetown,Prince Edward Island,"Exceptional High Victorian Gothic chapel with murals, 1888",46.234047,-63.132793,true
503,0101000020E6100000C009850838904FC0273108AC1C1E4740,586,Government House,173 Victoria Park Drive,<Null>,Historic Sites,Charlottetown,Prince Edward Island,Neoclassical vice-regal residence,46.231113,-63.135929,true
856,0101000020E61000009886E123623C54C0DBA2CC0699484640,2008,Billy Bishop Boyhood Home,948 Third Avenue West,Mounted on post in front of house,Historic Sites,Owen Sound,Ontario,Only surviving property in Canada strongly associated with the renowned  World War I flying ace,44.566117,-80.947767,true
495,0101000020E610000047205ED72F0450C06ADE718A8E684740,578,Alberton Court House,457 Church St. (east of Howland St.),<Null>,Historic Sites,Alberton,Prince Edward Island,"Circuit court house, 1877",46.812333,-64.06851,true
64,0101000020E61000001AFA27B8584960C09CE1067C7E1C4B40,70,North Pacific Cannery,1889 Skeena Drive,<Null>,Historic Sites,Port Edward,British Columbia,"Oldest extant West Coast salmon cannery, 1889",54.194583,-130.224391,true
17,0101000020E610000014CB2DAD86765CC0DA20938C9C394940,17,Old Women's Buffalo Jump,<Null>,<Null>,Historic Sites,Cayley,Alberta,Aboriginal bison drive in use for 1500 years,50.479201,-113.894743,true
675,0101000020E610000069E388B5F83E58C09A779CA223094940,796,St. Andrew's Anglican Church,374 River Road,<Null>,Historic Sites,St. Andrews,Manitoba,"Oldest stone church in western Canada, Gothic Revival style, 1845-49",50.066366,-96.976715,true
122,0101000020E610000069E388B5F83E58C09A779CA223094940,133,St. Andrew's Rectory,374 River Road and St. Andrew's Road,Mounted on an interpretive display. Plaque is located approx 20 m NE of NHSC,Historic Sites,St. Andrews,Manitoba,"Example of mid 19th-century Red River architecture, 1852-1854",50.066484,-96.977874,true
121,0101000020E610000069E388B5F83E58C09A779CA223094940,132,Miss Davis' School Residence / Twin Oaks,"corner of River Rd. and Oakfield Dr., Lot 51",across the road from NHSC,Historic Sites,St. Andrews,Manitoba,"Girls' school, mid 1850s Red River architecture",50.055551,-96.98767,true
793,0101000020E610000051888043A8CA5EC0026553AEF0AE4840,1852,Binning Residence,2968 Mathers Crescent,<Null>,Historic Sites,West Vancouver,British Columbia,"Early and remarkable illustration of architecture in the modern era; 1941",49.3403,-123.19725,true
79,0101000020E610000051888043A8CA5EC0026553AEF0AE4840,87,Point Atkinson Lighthouse,<Null>,Burrard Inlet,Historic Sites,West Vancouver,British Columbia,"Strategic light integral to growth of Vancouver harbour, 1912",49.330983,-123.263983,true
866,0101000020E6100000809A5AB6D68D53C02384471B47844640,2027,Wilberforce Red Cross Outpost,"Highway 648, Burleigh Road",front lawn,Historic Sites,Wilberforce,Ontario,Exemplifies the key role of nurses in providing health care and health education in isolated areas,45.039133,-78.223583,true
158,0101000020E610000091442FA3588A50C0B4AB90F293E24640,180,Tilley House,69 Front Street,<Null>,Historic Sites,Gagetown,New Brunswick,"Boyhood home of Sir Samuel Leonard Tilley, Father of Confederation, built 1790s",45.784745,-66.144308,true
510,0101000020E610000035D252793BA64FC0CC28965B5A354740,593,Farmers' Bank of Rustico,Church Street,on the Bank Building,Historic Sites,South Rustico,Prince Edward Island,"One of first co-operative banks in Canada, 1864",46.423282,-63.283333,true
233,0101000020E610000002D9EBDD1F5350C0E25817B7D16C4640,263,Bloody Creek,Highway 201,<Null>,Historic Sites,Bridgetown,Nova Scotia,"Two French-English combats, 1711 and 1757",44.82222,-65.30972,true
893,0101000020E6100000D9942BBCCB7D50C0D044D8F0F4EE4540,2101,Argyle Township Court House and Gaol,8168 Highway 3,<Null>,Historic Sites,Tusket,Nova Scotia,Oldest known surviving combined court house and jail,43.854893,-65.974456,true
1037,0101000020E6100000DAACFA5C6DEF52C037894160E5B84640,2429,Chaudière Portages,<Null>,"Eddy Park / Voyageurs Park, Hull, Quebec",Historic Events,Hull,Quebec,Part of the main canoe route to western Canada,45.42346,-75.72421,true
